"","subj_id","correct","r","rsgn","rabs","smoothed","n","plot","log_time","actual_location","attempts","weights","response_0","alpha"
"763","117",1,-0.9,0,0.9,0,24,"S",2.639057339,10,1,1,"10",-2.94443897916644
"764","203",0,0.3,1,0.3,1,96,"S",2.833213319,1,1,1,"12",-2.94443897916644
"765","53",0,-0.3,0,0.3,1,48,"S",2.995732256,6,1,1,"16",-2.94443897916644
"766","96",0,0.7,1,0.7,0,48,"L",2.77258872,11,1,1,"13",-2.94443897916644
"767","186",0,0.7,1,0.7,0,12,"S",3.135494204,7,1,1,"15",-2.94443897916644
"768","106",1,0.9,1,0.9,0,24,"L",2.77258872,5,1,1,"5",-2.94443897916644
"769","185",1,0.5,1,0.5,0,96,"S",3.044522432,13,1,1,"13",-2.94443897916644
"770","62",0,0.3,1,0.3,0,12,"L",4.143134731,16,2,0.5,"10",-2.94443897916644
"771","62",0,0.3,1,0.3,0,12,"L",4.143134731,16,2,0.5,"7",-2.94443897916644
"772","157",0,-0.5,0,0.5,0,12,"L",4.262679881,7,1,1,"18",-2.94443897916644
"773","199",0,0.5,1,0.5,0,12,"S",2.944438981,8,1,1,"14",-2.94443897916644
"774","116",0,0.3,1,0.3,0,24,"S",3.637586162,1,2,0.5,"6",-2.94443897916644
"775","116",0,0.3,1,0.3,0,24,"S",3.637586162,1,2,0.5,"20",-2.94443897916644
"776","180",0,-0.3,0,0.3,0,96,"L",4.47733682,5,1,1,"10",-2.94443897916644
"777","115",1,-0.3,0,0.3,0,96,"L",3.044522432,11,1,1,"11",-2.94443897916644
"778","178",0,0.5,1,0.5,0,48,"S",4.543294782,7,1,1,"17",-2.94443897916644
"779","117",0,-0.7,0,0.7,0,12,"S",2.995732256,11,2,0.5,"9",-2.94443897916644
"780","117",0,-0.7,0,0.7,0,12,"S",2.995732256,11,2,0.5,"13",-2.94443897916644
"781","190",0,-0.9,0,0.9,0,12,"L",3.178053828,3,1,1,"13",-2.94443897916644
"782","74",1,0.5,1,0.5,0,48,"S",3.951243711,2,1,1,"2",-2.94443897916644
"783","82",1,0.7,1,0.7,1,48,"S",3.433987195,10,1,1,"10",-2.94443897916644
"784","109",0,-0.5,0,0.5,0,96,"L",3.526360518,19,1,1,"14",-2.94443897916644
"785","118",1,0.9,1,0.9,0,48,"L",4.025351689,4,1,1,"4",-2.94443897916644
"786","117",1,-0.9,0,0.9,0,96,"S",2.07944154,16,1,1,"16",-2.94443897916644
"787","44",0,-0.7,0,0.7,0,96,"L",4.521788578,11,1,1,"2",-2.94443897916644
"788","207",0,-0.9,0,0.9,0,48,"L",4.127134386,5,1,1,"13",-2.94443897916644
"789","185",1,-0.7,0,0.7,0,24,"S",3.091042458,4,1,1,"4",-2.94443897916644
"790","106",0,0.3,1,0.3,1,48,"L",3.401197385,2,1,1,"6",-2.94443897916644
"791","53",1,-0.9,0,0.9,1,96,"S",2.07944154,20,1,1,"20",-2.94443897916644
"792","116",1,0.3,1,0.3,0,96,"S",3.044522462,11,1,1,"11",-2.94443897916644
"793","115",0,0.7,1,0.7,1,96,"L",3.091042458,11,1,1,"12",-2.94443897916644
"794","82",0,-0.5,0,0.5,0,24,"S",3.044522432,4,1,1,"6",-2.94443897916644
"795","96",0,-0.5,0,0.5,0,12,"L",3.8066625,2,2,0.5,"20",-2.94443897916644
"796","96",0,-0.5,0,0.5,0,12,"L",3.8066625,2,2,0.5,"18",-2.94443897916644
"797","180",1,-0.7,0,0.7,1,96,"L",3.555348062,15,1,1,"15",-2.94443897916644
